galaxy,T,n_pts,rmax,N_best,chi2red_best,bic_best,chi2red_burk,bic_burk,dBIC,a_max,a_max_gt_rmax,tier_a
D631-7,10,15,7.19,1,0.621,13.49,0.621,13.49,0.0,6.73,False,6.73
DDO064,10,14,2.98,1,0.344,9.41,0.344,9.41,0.0,1.81,False,1.81
DDO154,10,12,5.92,1,0.747,12.44,0.747,12.44,0.0,2.51,False,2.51
DDO161,10,31,13.37,1,0.26,14.42,0.26,14.42,0.0,7.35,False,7.35
DDO168,10,10,4.12,1,4.547,40.98,4.547,40.98,0.0,3.36,False,3.36
DDO170,10,8,12.33,1,1.75,14.66,1.75,14.66,0.0,4.28,False,4.28
ESO079-G014,4,15,16.67,1,1.025,18.74,1.025,18.74,0.0,8.01,False,8.01
ESO116-G012,7,15,9.86,1,0.78,15.55,0.78,15.55,0.0,3.65,False,3.65
ESO563-G021,4,27,42.41,1,6.725,174.72,6.725,174.72,0.0,8.76,False,8.76
F568-V1,7,15,17.63,1,0.055,6.13,0.055,6.13,0.0,3.05,False,3.05
F571-8,5,9,15.55,1,1.36,13.92,1.36,13.92,0.0,7.88,False,7.88
F571-V1,7,7,13.59,1,0.032,4.05,0.032,4.05,0.0,5.4,False,5.40
F574-1,7,14,12.6,1,0.094,6.41,0.094,6.41,0.0,3.54,False,3.54
F583-1,9,25,16.26,1,0.196,10.94,0.196,10.94,0.0,4.53,False,4.53
IC2574,9,34,10.23,2,0.786,37.69,1.307,48.87,11.19,89.56,True,2.83;89.56
IC4202,4,29,25.9,1,3.18,92.58,3.18,92.58,0.0,6.68,False,6.68
KK98-251,10,15,3.13,1,0.312,9.48,0.312,9.48,0.0,3.16,True,3.16
NGC0024,5,29,11.27,2,0.162,17.52,0.833,29.23,11.71,34.68,True,1.10;34.68
NGC0055,9,21,13.5,1,0.485,15.3,0.485,15.3,0.0,6.73,False,6.73
NGC0100,6,21,9.62,1,0.086,7.72,0.086,7.72,0.0,4.75,False,4.75
NGC0247,7,26,14.54,2,0.761,29.78,3.875,99.52,69.75,29.7,True,1.93;29.70
NGC0289,4,28,71.12,2,1.89,58.69,2.599,74.23,15.54,24.52,False,2.55;24.52
NGC0300,7,25,11.8,1,0.583,19.85,0.583,19.85,0.0,3.79,False,3.79
NGC0801,5,11,59.82,2,0.268,11.47,14.422,134.59,123.12,38.81,False,1.23;38.81
NGC0891,3,14,17.11,1,2.761,38.41,2.761,38.41,0.0,11.5,False,11.50
NGC1003,6,36,30.24,2,1.782,71.34,5.549,195.83,124.49,41.45,True,3.64;41.45
NGC1090,4,22,30.09,2,1.383,37.26,1.889,43.95,6.69,36.94,True,4.93;36.94
NGC2403,6,73,20.87,2,3.296,244.59,19.032,1359.84,1115.25,5.95,False,0.49;5.95
NGC2683,3,11,34.62,1,0.692,11.03,0.692,11.03,0.0,4.01,False,4.01
NGC2841,3,50,63.64,2,0.884,56.32,7.002,343.92,287.6,119.88,True,3.79;119.88
NGC2903,4,29,24.96,1,1.937,59.03,1.937,59.03,0.0,6.77,False,6.77
NGC2915,11,28,10.04,1,0.377,16.47,0.377,16.47,0.0,2.06,False,2.06
NGC2976,5,24,2.27,1,0.261,12.11,0.261,12.11,0.0,3.13,True,3.13
NGC2998,5,13,42.28,2,0.676,16.35,5.557,66.25,49.91,14.05,False,0.58;14.05
NGC3109,9,25,6.45,1,0.149,9.87,0.149,9.87,0.0,4.67,False,4.67
NGC3198,5,40,44.08,2,0.645,37.96,1.793,75.52,37.55,182.83,True,5.78;182.83
NGC3521,4,41,17.74,2,0.096,18.42,0.794,38.4,19.97,11.23,False,0.42;11.23
NGC3726,5,12,32.52,2,2.093,26.69,2.432,29.29,2.6,193.34,True,6.11;193.34
NGC3741,10,21,7.0,2,0.271,16.79,1.216,29.2,12.41,4.24,False,0.42;4.24
NGC3769,3,11,37.16,1,0.627,10.44,0.627,10.44,0.0,6.56,False,6.56
NGC3877,5,11,11.35,1,0.792,11.92,0.792,11.92,0.0,1.26,False,1.26
NGC3893,5,10,19.05,1,0.358,7.47,0.358,7.47,0.0,5.02,False,5.02
NGC3917,6,16,14.86,1,0.638,14.47,0.638,14.47,0.0,4.63,False,4.63
NGC3949,4,7,7.07,1,0.419,5.99,0.419,5.99,0.0,10.6,True,10.60
NGC3953,4,8,15.68,1,0.185,5.27,0.185,5.27,0.0,3.44,False,3.44
NGC3972,4,10,8.72,1,0.805,11.05,0.805,11.05,0.0,4.06,False,4.06
NGC3992,4,9,46.02,1,0.719,9.42,0.719,9.42,0.0,6.92,False,6.92
NGC4010,7,12,10.47,1,1.497,19.94,1.497,19.94,0.0,6.46,False,6.46
NGC4013,3,36,31.01,2,0.719,37.35,1.807,68.6,31.25,32.7,True,1.82;32.70
NGC4051,4,7,12.19,1,0.62,6.99,0.62,6.99,0.0,2.95,False,2.95
NGC4088,4,9,21.48,1,0.597,8.57,0.597,8.57,0.0,32.22,True,32.22
NGC4100,4,24,22.76,1,0.614,19.86,0.614,19.86,0.0,3.73,False,3.73
NGC4138,0,7,18.58,1,0.69,7.34,0.69,7.34,0.0,2.58,False,2.58
NGC4157,3,15,29.61,1,0.274,8.97,0.274,8.97,0.0,16.03,False,16.03
NGC4183,6,23,21.02,1,0.385,14.35,0.385,14.35,0.0,3.46,False,3.46
NGC4217,3,11,16.72,1,0.608,10.27,0.608,10.27,0.0,15.12,False,15.12
NGC4559,6,32,20.97,1,0.247,14.34,0.247,14.34,0.0,6.92,False,6.92
NGC5005,4,13,11.47,1,0.031,5.48,0.031,5.48,0.0,11.81,True,11.81
NGC5033,5,20,44.59,1,2.477,50.57,2.477,50.57,0.0,7.37,False,7.37
NGC5055,4,22,54.59,1,9.53,196.78,9.53,196.78,0.0,15.61,False,15.61
NGC5371,4,19,46.24,3,1.167,32.84,12.32,215.34,182.49,273.82,True,0.76;8.66;273.82
NGC5585,7,24,10.96,2,3.413,80.97,5.176,120.23,39.26,4.86,False,0.15;4.86
NGC5907,5,19,50.33,3,3.019,56.92,10.1,177.58,120.66,312.04,True,0.53;9.87;312.04
NGC5985,3,33,34.72,2,1.533,58.46,3.62,119.2,60.75,103.93,True,3.29;103.93
NGC6015,6,44,29.23,2,3.781,166.37,15.795,670.97,504.61,18.62,False,1.46;18.62
NGC6195,3,20,36.43,2,0.567,21.05,1.777,37.98,16.93,36.69,True,1.16;36.69
NGC6503,6,31,23.5,2,1.48,53.69,2.547,80.73,27.04,24.8,True,3.36;24.80
NGC6674,3,15,72.41,3,1.676,31.33,21.345,282.91,251.57,317.57,True,2.67;10.04;317.57
NGC6946,6,55,20.4,1,1.193,71.24,1.193,71.24,0.0,6.34,False,6.34
NGC7331,3,28,36.31,1,0.47,18.88,0.47,18.88,0.0,23.28,False,23.28
NGC7814,2,16,19.53,1,0.72,15.63,0.72,15.63,0.0,6.21,False,6.21
UGC00128,8,22,53.75,2,2.585,58.9,7.203,150.25,91.35,20.94,False,3.96;20.94
UGC00731,10,12,10.91,2,0.084,10.61,0.572,10.69,0.08,3.98,False,1.06;3.98
UGC01281,8,25,4.99,1,,,,,,1.6,False,1.60
UGC02259,8,8,8.14,2,0.32,9.6,2.378,18.43,8.83,34.05,True,1.08;34.05
UGC02487,0,17,80.38,1,4.326,70.56,4.326,70.56,0.0,8.71,False,8.71
UGC02885,5,19,74.07,3,0.863,28.89,4.437,81.31,52.43,102.66,True,0.47;14.88;102.66
UGC02916,2,32,38.0,1,3.022,97.6,3.022,97.6,0.0,9.55,False,9.55
UGC02953,2,106,62.39,2,4.016,428.32,10.797,1132.23,703.91,70.18,True,5.05;70.18
UGC03205,2,46,40.04,2,1.553,80.54,7.587,341.5,260.96,29.0,False,1.78;29.00
UGC03546,1,15,29.23,1,1.203,21.06,1.203,21.06,0.0,7.87,False,7.87
UGC03580,1,25,27.06,1,2.832,71.57,2.832,71.57,0.0,10.15,False,10.15
UGC04278,7,25,6.69,2,0.379,20.83,0.648,21.34,0.51,10.31,True,0.48;10.31
UGC04325,9,8,5.59,1,0.412,6.63,0.412,6.63,0.0,1.36,False,1.36
UGC04499,8,9,8.18,1,0.243,6.1,0.243,6.1,0.0,3.01,False,3.01
UGC05005,10,11,28.61,1,0.014,4.92,0.014,4.92,0.0,10.48,False,10.48
UGC05253,2,73,53.29,2,1.203,100.13,1.412,108.82,8.68,9.56,False,0.30;9.56
UGC05716,9,12,12.37,2,0.935,17.42,2.557,30.54,13.12,4.19,False,0.30;4.19
UGC05721,7,23,6.74,1,0.394,14.55,0.394,14.55,0.0,1.03,False,1.03
UGC05986,9,15,9.41,1,0.88,16.85,0.88,16.85,0.0,3.26,False,3.26
UGC06399,9,9,7.85,1,0.047,4.72,0.047,4.72,0.0,3.48,False,3.48
UGC06446,7,17,10.22,1,0.45,12.41,0.45,12.41,0.0,1.96,False,1.96
UGC06614,1,12,64.59,1,0.132,6.29,0.132,6.29,0.0,26.66,False,26.66
UGC06667,6,9,7.85,1,0.095,5.06,0.095,5.06,0.0,3.08,False,3.08
UGC06786,0,45,34.05,2,0.774,46.97,3.399,153.79,106.82,11.06,False,2.07;11.06
UGC06787,2,55,37.19,2,21.854,1130.58,33.734,1795.9,665.32,145.02,True,4.59;145.02
UGC06818,9,8,6.98,1,1.328,12.12,1.328,12.12,0.0,10.47,True,10.47
UGC06917,9,11,10.47,1,0.197,6.57,0.197,6.57,0.0,3.68,False,3.68
UGC06923,10,6,5.16,1,0.492,5.55,0.492,5.55,0.0,3.19,False,3.19
UGC06930,7,10,16.61,1,0.179,6.04,0.179,6.04,0.0,3.77,False,3.77
UGC06983,6,17,15.68,1,0.424,12.02,0.424,12.02,0.0,3.2,False,3.20
UGC07125,9,13,18.68,1,0.248,7.86,0.248,7.86,0.0,4.81,False,4.81
UGC07151,6,11,5.5,1,0.912,13.0,0.912,13.0,0.0,1.6,False,1.60
UGC07261,8,7,6.67,1,0.381,5.8,0.381,5.8,0.0,1.54,False,1.54
UGC07399,8,10,6.13,2,0.117,9.91,0.917,11.94,2.03,37.16,True,1.18;37.16
UGC07524,9,31,10.69,1,0.237,13.73,0.237,13.73,0.0,3.55,False,3.55
UGC07603,7,12,4.11,1,0.204,7.01,0.204,7.01,0.0,1.54,False,1.54
UGC07690,10,7,4.13,1,0.111,4.45,0.111,4.45,0.0,0.7,False,0.70
UGC08286,6,17,8.04,2,0.664,19.97,1.253,24.45,4.49,45.03,True,1.42;45.03
UGC08490,9,30,10.15,2,0.144,17.34,0.663,25.37,8.03,3.02,False,0.63;3.02
UGC08550,7,11,5.36,2,0.442,12.68,0.948,13.33,0.65,4.56,False,0.86;4.56
UGC08699,2,37,25.7,2,0.54,32.26,3.202,119.3,87.04,17.0,False,1.95;17.00
UGC09037,6,19,27.96,1,0.503,14.45,0.503,14.45,0.0,20.27,False,20.27
UGC09133,2,64,108.31,2,6.101,382.72,10.836,680.17,297.44,66.22,False,8.55;66.22
UGC10310,9,7,7.74,1,0.094,4.36,0.094,4.36,0.0,2.14,False,2.14
UGC11455,6,33,41.93,2,1.619,60.93,1.837,63.96,3.03,297.69,True,9.41;297.69
UGC11914,2,63,9.83,3,0.538,55.52,8.211,509.13,453.61,59.13,True,0.50;1.87;59.13
UGC12506,6,31,49.99,2,0.108,16.64,0.724,27.87,11.23,9.7,False,1.01;9.70
UGC12632,9,15,10.66,1,0.066,6.27,0.066,6.27,0.0,2.86,False,2.86
UGCA442,9,8,6.33,1,0.615,7.85,0.615,7.85,0.0,2.83,False,2.83
UGCA444,10,36,2.62,1,0.218,14.58,0.218,14.58,0.0,1.27,False,1.27
